expression,reading,meaning,tags,guid
〜 (まる) ごと,〜 (まる) ごと,整個〜，全部〜,JLPT JLPT_2,Ja%uZn!l8Y
(かさを～) さす,(かさを～) さす,打開；保持（雨傘）,JLPT JLPT_2 MediaMissing,g~n;/-.8!D
〜(日本) 式,～(にほん) しき,風俗，,JLPT JLPT_2 MediaMissing,no!e4=rwH(
～位,～い,〜th,JLPT JLPT_2,G*#PQ&xZe;
～いち (にほんいち),～いち (にほんいち),第1〜（in）,JLPT JLPT_2,GmGAkPKtVr
～園,～えん,〜花園（尤其是人造的）,JLPT JLPT_2,z)[Ulzmb?X
～おしまい (おわり),～おしまい (おわり),結束〜,JLPT JLPT_2,B07i&;klYX
～日,～か,計數器幾天,JLPT JLPT_2,rDuT4FxT)r
～下,～か,在〜下,JLPT JLPT_2,fbg-jA#f{K
～化,～か,做某事的行動,JLPT JLPT_2,jA{o6okAW~
～科,～か,家庭，小組，課程,JLPT JLPT_2,G*u5fLwYB~
～歌,～か,〜的歌,JLPT JLPT_2,b!q>|EX?]V
～画,～が,圖片，繪畫,JLPT_1 JLPT JLPT_2,A:x.SahEv8
～外,～がい,〜,JLPT JLPT_2,v.D6N)Jn-M
～難い,～がたい,艱難（困難）做〜,JLPT_1 JLPT JLPT_2,q5_^x`K^C~
～がち,～がち,傾向於做〜,JLPT JLPT_2,"HC!2|,O=Uv"
～刊,～かん,〜發行（雜誌，報紙）,JLPT JLPT_2,J]XIoil*2L
～間,～かん,之間，期間,JLPT JLPT_2,Qm1qWlocEP
～巻,～かん,體積,JLPT JLPT_2,K19uzsMb_o
～館,～かん,〜大廳，建築物,JLPT JLPT_2,c3uPE$j0G@
～感,～かん,感覺，感覺，印象,JLPT JLPT_2,gv?{M:3Nl+
～期,～き,〜年齡，〜時期,JLPT JLPT_2,kCfW%K6Q|D
～器,～き,設備，設備,JLPT JLPT_2,u+~Y!_LNSC
～機,～き,機器,JLPT JLPT_2,k3|o@N56?1
～気味,～ぎみ,稍微〜,JLPT JLPT_2,H[Vo.[BxaR
～教,～きょう,宗教,JLPT JLPT_2,"vbb{{,/z36"
～行,～ぎょう,行，行,JLPT JLPT_2,E5TA@2@XRb
～業,～ぎょう,業務類型,JLPT JLPT_2,r#B%nh/j8;
～きる,～きる,然而，攜帶,JLPT JLPT_2,lY)YcCGPox
～切れ,～きれ,〜,JLPT JLPT_2,BI!R8>v)8r
～口,～くち,〜開放; 〜入口，〜退出,JLPT JLPT_2,pT(<V!lc5R
～家,～け,〜的家人，〜的房子,JLPT JLPT_2,OVLMa7l[Gn
～形,～けい,〜的形狀,JLPT JLPT_2,M3p*&+Wj>%
～系,～けい,〜系統，〜譜系，〜組,JLPT_1 JLPT JLPT_2,AgNe/GkjZM
～圏,～けん,集團，球體，區域,JLPT_1 JLPT JLPT_2,Ddk.oC`&.J
～校,～こう,學校的櫃檯,JLPT JLPT_2,m]41H0.3l-
～港,～こう,〜端口,JLPT JLPT_2,vQbZYeISYX
～号,～ごう,雜誌的櫃檯；船的名稱,JLPT JLPT_2,qiAK;eRQt!
～国,～こく,〜國家,JLPT JLPT_2,m~(IN:3:#0
～毎,～ごと,每個〜，每個〜,JLPT JLPT_2,Bs7#M8Tn1H
～山,～さん,山名,JLPT JLPT_2,vw^f*9f$12
～産,～さん,製作〜,JLPT JLPT_2,tJtC7!P@]H
～史,～し,〜的歷史,JLPT JLPT_2,y`(f6xau3#
～紙,～し,報紙，紙,JLPT JLPT_2,y0d}(mMiCt
～寺,～じ,寺廟的名字,JLPT JLPT_2,Nj@/ru^JH5
～時間目,～じかんめ,〜第〜第〜第三個時期,JLPT JLPT_2,LonTM0:Ie8
～室,～しつ,櫃檯的房間,JLPT JLPT_2,eycwn`U+hZ
～日,～じつ,天,JLPT JLPT_2,jkFuTgpXi`
～車,～しゃ,〜車,JLPT JLPT_2,h)<Q^X85ag
～者,～しゃ,人,JLPT JLPT_2,MTv(a]7l!6
～社,～しゃ,公司的櫃檯,JLPT JLPT_2,sQmjhXA-Mr
～手,～しゅ,〜玩家，做的人〜,JLPT JLPT_2,IkixzX56yl
～酒,～しゅ,酒精,JLPT JLPT_2,k?BC&(RjAH
～集,～しゅう,收集〜,JLPT JLPT_2,LdT;R@utl1
～所,～しょ,地方,JLPT JLPT_2,qVV9fum9%7
～所,～じょ,地方,JLPT JLPT_2,cE:Y(}3[Wc
～女,～じょ,計算姐妹,JLPT JLPT_2,D4j(w~c1gi
～省,～しょう,一種事工,JLPT JLPT_2,v9~DY$oS}A
～商,～しょう,商人，生意,JLPT JLPT_2,DK0!oyaXJR
～勝,～しょう,勝利,JLPT JLPT_2,E_qw?Tzvk_
～条,～じょう,符合文章的計數器,JLPT_1 JLPT JLPT_2,q^S9+[e=*b
～場,～じょう,種類，地面,JLPT JLPT_2,eh5O)[W8C@
～畳,～じょう,計數tatami，墊子,JLPT JLPT_2,gXTr~P6_;?
～色,～しょく,有點顏色,JLPT JLPT_2,w$+z1REIYB
～過ぎる,～すぎる,太多了〜,JLPT JLPT_2,"P,ja3J!YLK"
～済,～ずみ,完成的,JLPT JLPT_2,ncGw.Yh;>r
～席,～せき,座位櫃檯,JLPT JLPT_2,sr9PdG~4;[
～船,～せん,船隻的櫃檯,JLPT JLPT_2,JSy<S}QGsV
～戦,～せん,櫃檯，比賽,JLPT JLPT_2,M$gHOq[jYN
～前,～ぜん,之前〜,JLPT JLPT_2,DTK5j`gi24
～沿い,～そい,沿著,JLPT JLPT_2,"sbv*I,a%(h"
～艘,～そう,船隻的櫃檯,JLPT JLPT_2,AT^w8|Z/Tg
～足,～そく,鞋子的櫃檯,JLPT JLPT_2,q&YH/C!y&b
～だらけ,～だらけ,充滿〜，充滿〜,JLPT JLPT_2,C*zDXpDGOo
～団,～だん,小組，軍團，聚會,JLPT JLPT_2,"JAUz(u,OT1"
～着,～ちゃく,櫃檯;整理場所,JLPT JLPT_2,LNy/i0~?h*
～庁,～ちょう,辦公室，代理,JLPT JLPT_2,Nh*HbZ~CkX
～兆,～ちょう,百萬,JLPT JLPT_2,jHeL$YV:ox
～長,～ちょう,負責人，頭,JLPT JLPT_2,i0hy<f%]dq
～帳,～ちょう,〜書籍，筆記本,JLPT JLPT_2,e.I(|go>z(
～丁目,～ちょうめ,〜地區（城鎮；城市，街區）,JLPT JLPT_2,z[Zeu>wor`
～通,～つう,計數器,JLPT JLPT_2,gcs`gQZBri
～遣い,～づかい,使用〜,JLPT JLPT_2,C?GOcbN8fi
～付,～つき,與〜,JLPT JLPT_2,L%2+~L_:IY
～続く,～つづく,跟隨，繼續，繼續,JLPT JLPT_2,u%o(or2@%{
～辛い,～づらい,很難做〜,JLPT JLPT_2,u@W}x:nhL8
～滴,～てき,降低,JLPT JLPT_2,J%ti108Zf0
～点,～てん,分數計數器,JLPT JLPT_2,Q=wx{JnD0/
～頭,～とう,動物的櫃檯,JLPT JLPT_2,Q04jNq<%}1
～等,～とう,等級，位置,JLPT JLPT_2,t~N);db(/R
～島,～とう,一種島嶼,JLPT JLPT_2,xDO?MQ[t-7
～道,～どう,道路，道路,JLPT JLPT_2,NK#jvaQLbz
～通り,～とおり,按照〜;跟隨〜; 〜街，〜大道,JLPT JLPT_2,i!k>vq-guB
～ところ,～ところ,即將做〜,JLPT JLPT_2,B;8DjvC&9}
～内,～ない,內部〜,JLPT JLPT_2,K?<zC9:h:N
～年生,～ねんせい,學年的櫃檯,JLPT JLPT_2,seB~`F&UPJ
～泊,～はく,住宿的櫃檯（例如，2晚）,JLPT JLPT_2,PblG<4:M5~
～発,～はつ,櫃檯的子彈,JLPT JLPT_2,e#d]&/=XN}
～番目,～ばんめ,〜th,JLPT JLPT_2,i*esVeP_ak
～費,～ひ,費用〜,JLPT JLPT_2,u[jm+{6L3X
～病,～びょう,一種疾病,JLPT JLPT_2,A*!}.Pwu5m
～部,～ぶ,〜部分,JLPT JLPT_2,fPDrnMwV)X
～風,～ふう,〜樣式,JLPT JLPT_2,l^t;?>.nOp
～振り,～ぶり,間隔〜之後,JLPT JLPT_2,;^fUn`g0d
～遍,～へん,時間,JLPT JLPT_2,K&5Px_U7gs
～弁,～べん,語音，方言,JLPT JLPT_2,jOUF!M-NS3
～歩,～ほ,步驟，步伐,JLPT JLPT_2,Bd!L5Wz^Su
～ぽい,～ぽい,〜ish,JLPT JLPT_2,f_=g;f`{~[
～ほう (ひかく),～ほう (ひかく),（相比之下）,JLPT JLPT_2,bVM<L+hK+`
～みたい,～みたい,看起來像〜,JLPT JLPT_2,N{CD^3;+~1
～向け,～むけ,為〜,JLPT JLPT_2,"Gc8ij%t,3="
～名,～めい,人民的櫃檯,JLPT JLPT_2,u?LD1<v]&U
～もち,～もち,有〜的人,JLPT JLPT_2,kcFc6H|EaR
～問,～もん,櫃檯提問,JLPT JLPT_2,r$GN8{}74-
～夜,～や,夜晚的櫃檯,JLPT JLPT_2,Cczj9?Yw&<
～等,～ら,複數人,JLPT JLPT_2,yo94:>GuX6
～流,～りゅう,時尚，態度，方式,JLPT JLPT_2,zpH1qv^$%p
～料,～りょう,票價，收費,JLPT JLPT_2,IX116ZKh4C
