expression,reading,meaning,tags,guid
作法,さほう,禮節，禮節，禮節,JLPT JLPT_2 JLPT_3,HYeQ[!t+v+
様々,さまざま,多樣，多樣,JLPT JLPT_2 JLPT_3,l>?/o{CjV<
冷ます,さます,冷卻，讓冷卻,JLPT JLPT_2 JLPT_3,m(o0n4^}Z$
覚ます,さます,喚醒,JLPT JLPT_2 JLPT_3,t9@aJ[u<UZ
冷める,さめる,變得涼爽，磨損,JLPT JLPT_2 JLPT_3,LR.A;82:W|
覚める,さめる,醒來，醒來,JLPT JLPT_2 JLPT_3,Dob+O4(+<L
左右,さゆう,左右;影響,JLPT JLPT_2 JLPT_3,d8br}6f4&T
皿,さら,盤子，盤子,JLPT Genki_Ln.14 JLPT_3 JLPT_2 Genki,p*f@mDk_ih
更に,さらに,此外，此外,JLPT JLPT_2 JLPT_3,n=YLy+|9V>
去る,さる,離開，走開,JLPT JLPT_2 JLPT_3,q:@^dVE|Ux
猿,さる,猴,JLPT JLPT_3 JLPT_2 Genki_Ln.22 Genki,I;FmV}C|Mm
騒ぎ,さわぎ,騷動，干擾,JLPT JLPT_2 JLPT_3,"b-,^J/-<a("
参加,さんか,參與,JLPT JLPT_2 JLPT_3,NJ??D?6U!^
参考,さんこう,參考，諮詢,JLPT JLPT_2 JLPT_3,Han8<B?^r0
賛成,さんせい,批准，協議,JLPT JLPT_2 JLPT_3,"emfZ/!E,?["
酸性,さんせい,酸度,JLPT JLPT_2 JLPT_3,geVhjMXt@#
酸素,さんそ,氧,JLPT JLPT_2 JLPT_3,DM##q[%RFu
氏,し,姓氏，血統,JLPT JLPT_2 JLPT_3,LAOK_nHPS/
詩,し,詩;詩,JLPT Intermediate_Japanese JLPT_3 JLPT_2 Intermediate_Japanese_Ln.13,PI;rr><.*1
幸せ,しあわせ,幸福，祝福,JLPT JLPT_2 JLPT_3,MYpn~@*11o
ジーンズ,ジーンズ,牛仔褲,JLPT JLPT_3 JLPT_2 Genki_Ln.2 Genki,o3hhzYEH)l
ジェット機,ジェットき,噴射機,JLPT JLPT_2 JLPT_3,fS!]EX&j7m
四角,しかく,正方形,JLPT JLPT_2 JLPT_3,J[L(f7xE~B
直に,じかに,立即直接，直接直接,JLPT JLPT_2 JLPT_3,"Gui,0]IdY5"
しかも,しかも,此外，此外，此外，,JLPT Intermediate_Japanese JLPT_3 JLPT_2 Intermediate_Japanese_Ln.9 Intermediate_Japanese_Ln.2,NW!O~u6B#]
四季,しき,四季,JLPT JLPT_2 JLPT_3,j=w0weSQi)
直,じき,很快，很快,JLPT JLPT_2 JLPT_3,wd?tx<3Bac
時期,じき,時間，季節，時期,JLPT JLPT_2 JLPT_3,DJ<W>Fb$j>
支給,しきゅう,付款，津貼,JLPT JLPT_2 JLPT_3,MpCDrKuR@c
至急,しきゅう,緊迫，緊迫,JLPT JLPT_2 JLPT_3,"K+,ttKQ<dz"
しきりに,しきりに,經常反复，熱切地,JLPT JLPT_2 JLPT_3,E|Rw@W(/Em
刺激,しげき,刺激，動力，激勵,JLPT JLPT_2 JLPT_3,PD*^rLK60i
資源,しげん,資源,JLPT JLPT_2 JLPT_3,m(PG+T&|gr
事件,じけん,事件，外遇，事件,JLPT JLPT_2 JLPT_3,MbFCnlA+g8
時刻,じこく,時間，小時,JLPT JLPT_2 JLPT_3,"oN.E,s)Z}n"
自殺,じさつ,自殺,JLPT JLPT_2 JLPT_3,y#JDw}f8E1
事実,じじつ,事實，真理，現實,JLPT JLPT_2 JLPT_3,qUB-Jtt?i`
支出,ししゅつ,支出，支出,JLPT JLPT_2 JLPT_3,PrmuroD(_w
事情,じじょう,情況，情況，原因,JLPT JLPT_2 JLPT_3,B&D.VmCJRe
詩人,しじん,詩人,JLPT JLPT_2 JLPT_3,J|*bb(L^Qr
自身,じしん,自己,JLPT Intermediate_Japanese JLPT_3 JLPT_2 Intermediate_Japanese_Ln.14,Mms_kL$qBA
沈む,しずむ,下沉；感到沮喪,JLPT JLPT_2 JLPT_3,v(wY-5e=dv
自然,しぜん,自然，自發,JLPT JLPT_2 JLPT_3,K#D]Lme)]J
思想,しそう,思想，想法,JLPT JLPT_2 JLPT_3,"udM,dvR}EZ"
舌,した,舌頭,JLPT JLPT_2 JLPT_3,i22E-x*lSS
次第,しだい,命令;情況;立即地）,JLPT JLPT_2 JLPT_3,m7IQESq>:Z
従う,したがう,遵守（根據規則），服從,JLPT JLPT_2 JLPT_3,jQOK[Z2G2a
